"","Original.address","Latitutde","Longitude"
"327","1020 E. 61st St. ",41.7841008,-87.5999416
"328","1021 E 62nd St.",41.7821098,-87.60007
"329","1023 E. 48th St. ",41.8074455,-87.6006109
"330","1025 E. 54th Pl.",41.7964742,-87.600835
"331","1025 E. 57th St. ",41.7912973,-87.6002383
"332","1027 E. 53rd St. ",41.7991923,-87.6001364
"333","1028 E. 62nd St. ",41.7824548,-87.5999216
"334","1029 E. 49th St. ",41.8056849,-87.6004647
"335","1030 E. 52nd St.",41.8010808,-87.6009027
"336","1035 E. 60th St.",41.7859271,-87.5994755
"337","1036 E. Hyde Park",41.8027159,-87.600088
"338","1047 E. Midway Pl",NA,NA
"339","1055 E. 55th St. ",41.7949283,-87.6002467
"340","1056 E. 55th St.",41.795749,-87.6003318
"341","1070 E. 57th St.",41.7913805,-87.6007722
"342","1100 E. 48th St. ",41.8080142,-87.598849
"343","1100 E. 58th St ",41.7901748,-87.5991412
"344","1100 E. 58th St.",41.7901748,-87.5991412
"345","1100 E. 59th St. ",41.7877664,-87.5980648
"346","1100 E. 61st St.",41.7841078,-87.5991655
"347","1100 E. 61st St. ",41.7841078,-87.5991655
"348","1100 E. Midway Pl.",41.7864747,-87.5989062
"349","1100 E.60th St.",41.785921,-87.6001462
"350","1101 E, 56th St. ",41.7929725,-87.5999293
"351","1101 E. 53rd St.",41.799407,-87.5997281
"352","1101 E. 58th ",41.7889722,-87.5992628
"353","1101 E. 58th St.  ",41.7889722,-87.5992628
"354","1103 E. 57th St. ",41.7912616,-87.5991968
"355","1105 E. 55th St. ",41.7946221,-87.5989647
"356","1108 E. 53rd St. ",41.7995071,-87.5986416
"357","1108 E. 58th St.",41.7895621,-87.601259
"358","1108 E. 58th St. ",41.7895621,-87.601259
"359","1110 E. 53rd St. ",41.7995084,-87.5984241
"360","1111 E, 60th St. ",41.7851676,-87.5985919
"361","1117 E. 53rd St. ",41.7992607,-87.5988879
"362","1118 E. 57th St. ",41.7914051,-87.5985487
"363","1118 E. 58th St ",41.7895621,-87.601259
"364","1118 E. 58th St. Eckhart Hall ",41.790151,-87.598534
"365","1119 E. 58th St. ",41.7896074,-87.5963982
"366","1120 E. 59th St.",41.7877667,-87.5980389
"367","1120 E. Midway Pl.",41.7864747,-87.5989062
"368","1121 E. 57th St.",41.7912365,-87.598449
"369","1122 E. 46th St. ",41.811602,-87.5982917
"370","1128 E. 46th St.",41.8115958,-87.5980073
"371","1130 E. 46th St.",41.8115925,-87.5979565
"372","1130 E. 57th St.",41.791406,-87.598282
"373","1132 E. 56th St.",41.7932263,-87.5984127
"374","1144 E. 52nd St.",41.8010801,-87.5981002
"375","1144 E. 59th St.",41.7877673,-87.5979953
"376","1144 E. 61st St.",41.7841182,-87.5979069
"377","1145 E. 55th St.",41.7945527,-87.5978442
"378","1145 E. 56th St. ",41.7930575,-87.5978247
"379","1147 E. 56th St.",41.7930585,-87.5977747
"380","1148 E. 48th St. ",41.808051,-87.597391
"381","1149 E. 46th St.",41.8112607,-87.5974003
"382","1153 E. 56th St.",41.7930649,-87.5976652
"383","1154 E. 55th St.",41.7952181,-87.5976005
"384","1154 E. 56th St. ",41.7934152,-87.5976428
"385","1154 E. 57th St. ",41.7915708,-87.5974854
"386","1155 E. 55th St. ",41.7945548,-87.5976178
"387","1155 E. 56th St.",41.7930586,-87.5976663
"388","1155 E. 56th St. ",41.7930586,-87.5976663
"389","1155 E. 65th St.",41.7767139,-87.5968059
"390","1156 E. 57th St.",41.7915717,-87.5974199
"391","1156 E. Hyde Park ",41.8025965,-87.5974473
"392","1157 E. 59th St.",41.7878419,-87.5914952
"393","1158 E. 58th St. ",41.7896074,-87.5963982
"394","1158 E. 59th St.",41.7877684,-87.5979325
"395","1160 E. 54th St.",41.798183,-87.597315
"396","1160 E. 56th St.",41.7934851,-87.5974055
"397","1160 E. 58th St. ",41.7896074,-87.5963982
"398","1162 E. 52nd St. ",41.8010835,-87.5976329
"399","1165 E. 53rd St.",41.7993347,-87.597869
"400","1165 E. 61st St.",41.7839783,-87.5970268
"401","1167 E. 63rd St. ",41.7804324,-87.5965689
"402","1174 E. 55th St.",41.7952638,-87.5967536
"403","1200 E. 61st St. ",41.7841358,-87.5962844
"404","1200 E. Hyde Park",41.802743,-87.595828
"405","1200 E. Hyde Park ",41.802743,-87.595828
"406","1201 E. 54th St.",41.7979633,-87.596593
"407","1201 E. 59th St.",41.7878419,-87.5914952
"408","1204 E. 53rd St. ",41.8000186,-87.5963468
"409","1205 E. 54th St.",41.7977675,-87.5964061
"410","1210 E. 54th St. ",41.7981464,-87.596176
"411","1212 E. 54th St. ",41.7980922,-87.5961509
"412","1214 E. 53rd St.",41.7999895,-87.5959738
"413","1214 E. 53rd St. ",41.7999895,-87.5959738
"414","1215 E. Hyde Park",41.8021008,-87.5963425
"415","1215 E. Hyde Park ",41.8021008,-87.5963425
"416","1219 E. 50th St. ",41.80386,-87.596046
"417","1219 E. 53rd St.",41.7991574,-87.5958288
"418","1219 E. Midway Pl.",41.7864747,-87.5989062
