"","Original address","Freq","Location.Address"
"626","50th & Drexel",1,"50th and Drivexel"
"627","50th & Lake Shore Dr.",1,"50th and Lake Shore Drive"
"628","5100 S. Blackstone",1,"5100 South Blackstone"
"629","5100 S. Cornell",1,"5100 South Cornell"
"630","5100 S. Dorchester",1,"5100 South Dorchester"
"631","5100 S. Dorchester ",1,"5100 South Dorchester "
"632","5100 S. Hyde Park",1,"5100 South Hyde Park"
"633","5100 S. Lake Park",1,"5100 South Lake Park"
"634","5100 S. Lake Park ",1,"5100 South Lake Park "
"635","5100 S. Lake Shore Dr.",1,"5100 South Lake Shore Drive"
"636","5100 S. Shore Dr. ",1,"5100 South Shore Drive "
"637","5100 S. University",1,"5100 South University"
"638","5100 S. Woodlawn",1,"5100 South Woodlawn"
"639","5101 S. Greenwood",1,"5101 South Greenwood"
"640","5103 S. Woodlawn",1,"5103 South Woodlawn"
"641","5111 S. University ",1,"5111 South University "
"642","5112 S. Woodlawn",1,"5112 South Woodlawn"
"643","5115 S. Ellis",1,"5115 South Ellis"
"644","5116 S. Blackstone ",1,"5116 South Blackstone "
"645","5118 S. Blackstone",1,"5118 South Blackstone"
"646","5118 S. Lake Park ",1,"5118 South Lake Park "
"647","5120 S. Cornell ",1,"5120 South Cornell "
"648","5121 S. Ingleside ",1,"5121 South Ingleside "
"649","5125 S. Kenwood ",1,"5125 South Kenwood "
"650","5128 S. Blackstone ",1,"5128 South Blackstone "
"651","5130 S. Hyde Park",1,"5130 South Hyde Park"
"652","5135 S. Blackstone ",1,"5135 South Blackstone "
"653","5135 S. Woodlawn",1,"5135 South Woodlawn"
"654","5140 S. Hyde Park",1,"5140 South Hyde Park"
"655","5141 S. Ellis ",1,"5141 South Ellis "
"656","5152 S. Drexel ",1,"5152 South Drivexel "
"657","5155 S. Cottage Grove",1,"5155 South Cottage Grove"
"658","51st & Cornell",1,"51st and Cornell"
"659","51st & University",1,"51st and University"
"660","51st. & Blackstone",1,"51st. and Blackstone"
"661","5200 S Cornell",1,"5200 S Cornell"
"662","5200 S. Blackstone",1,"5200 South Blackstone"
"663","5200 S. Cottage Grove",1,"5200 South Cottage Grove"
"664","5200 S. Cottage Grove ",1,"5200 South Cottage Grove "
"665","5200 S. Drexel",1,"5200 South Drivexel"
"666","5200 S. Greenwood",1,"5200 South Greenwood"
"667","5200 S. Harper ",1,"5200 South Harper "
"668","5200 S. Hyde Park ",1,"5200 South Hyde Park "
"669","5200 S. Ingleside",1,"5200 South Ingleside"
"670","5200 S. Kenwood",1,"5200 South Kenwood"
"671","5200 S. Kenwood ",1,"5200 South Kenwood "
"672","5200 S. Lake Park ",1,"5200 South Lake Park "
"673","5200 S. Woodlawn",1,"5200 South Woodlawn"
"674","5200 S. Woodlawn ",1,"5200 South Woodlawn "
"675","5201 S. Hyde Park",1,"5201 South Hyde Park"
"676","5201 S. Ingleside",1,"5201 South Ingleside"
"677","5201 S. Ingleside ",1,"5201 South Ingleside "
"678","5201 S. University ",1,"5201 South University "
"679","5208 S. Ingleside ",1,"5208 South Ingleside "
"680","5211 S. Blackstone ",1,"5211 South Blackstone "
"681","5211 S. Woodlawn",1,"5211 South Woodlawn"
"682","5213 S. Woodlawn ",1,"5213 South Woodlawn "
"683","5215 S. Woodlawn ",1,"5215 South Woodlawn "
"684","5218 S. Harper ",1,"5218 South Harper "
"685","5219 S. Harper ",1,"5219 South Harper "
"686","5220 S. Drexel ",1,"5220 South Drivexel "
"687","5221 S. Harper ",1,"5221 South Harper "
"688","5222 S. Harper ",1,"5222 South Harper "
"689","5223 S. Lake Park",1,"5223 South Lake Park"
"690","5225 S. Harper",1,"5225 South Harper"
"691","5226 S. Harper",1,"5226 South Harper"
"692","5226 S. Ingleside ",1,"5226 South Ingleside "
"693","5228 S. Lake Park",1,"5228 South Lake Park"
"694","5230 S. Harper ",1,"5230 South Harper "
"695","5230 S. Lake Park",1,"5230 South Lake Park"
"696","5235 S. Harper Court ",1,"5235 South Harper Court "
"697","5235 S. Lake Park ",1,"5235 South Lake Park "
"698","5239 S. Hyde Park",1,"5239 South Hyde Park"
"699","5241 S. Harper",1,"5241 South Harper"
"700","5245 S. Drexel",1,"5245 South Drivexel"
"701","5250 S. Harper Ct.",1,"5250 South Harper Ct."
"702","5250 S. Lake Park",1,"5250 South Lake Park"
"703","5254 S. Dorchester ",1,"5254 South Dorchester "
"704","52nd & Lake Park",1,"52nd and Lake Park"
"705","52nd at Lake Park",1,"52nd at Lake Park"
"706","5300 S. Blackstone ",1,"5300 South Blackstone "
"707","5300 S. Dorchester",1,"5300 South Dorchester"
"708","5300 S. Drexel ",1,"5300 South Drivexel "
"709","5300 S. Ellis",1,"5300 South Ellis"
"710","5300 S. Greenwood",1,"5300 South Greenwood"
"711","5300 S. Hyde Park",1,"5300 South Hyde Park"
"712","5300 S. Kenwood ",1,"5300 South Kenwood "
"713","5300 S. Kimbark",1,"5300 South Kimbark"
"714","5300 S. Woodlawn ",1,"5300 South Woodlawn "
"715","5301 S. Cottage Grove",1,"5301 South Cottage Grove"
"716","5301 S. Dorchester",1,"5301 South Dorchester"
"717","5301 S. University ",1,"5301 South University "
"718","5302 S. Lake Park",1,"5302 South Lake Park"
"719","5303 S. Kimbark ",1,"5303 South Kimbark "
"720","5305 S. Drexel ",1,"5305 South Drivexel "
"721","5306 S. Ingleside ",1,"5306 South Ingleside "
"722","5307 S. Kimbark ",1,"5307 South Kimbark "
"723","5307 S. University ",1,"5307 South University "
"724","5308 S. Hyde Park",1,"5308 South Hyde Park"
"725","5308 S. Maryland ",1,"5308 South Maryland "
"726","5310 S. Harper ",1,"5310 South Harper "
"727","5311 S. Blackstone",1,"5311 South Blackstone"
"728","5311 S. Lake Park",1,"5311 South Lake Park"
"729","5317 S. Maryland",1,"5317 South Maryland"
"730","5327 S. Cornell",1,"5327 South Cornell"
"731","5327 S. Dorchester ",1,"5327 South Dorchester "
"732","5330 S. Harper",1,"5330 South Harper"
"733","5334 S. Woodlawn",1,"5334 South Woodlawn"
"734","5340 S. Cornell",1,"5340 South Cornell"
"735","5343 S. Ellis",1,"5343 South Ellis"
"736","5343 S. Greenwood",1,"5343 South Greenwood"
"737","5345 S. Harper",1,"5345 South Harper"
"738","5345 S. Kimbark",1,"5345 South Kimbark"
"739","5346 S. Cornell ",1,"5346 South Cornell "
"740","5348 S. Maryland ",1,"5348 South Maryland "
"741","53rd & Ingleside",1,"53rd and Ingleside"
