"","Original address","Freq","Location.Address"
"1","5700 S. Maryland ",176,"5700 South Maryland "
"2","5815 S. Maryland ",126,"5815 South Maryland "
"3","6031 S. Ellis ",119,"6031 South Ellis "
"4","901 E. 58th St. ",91,"901 East 58th Street "
"5","6054 S. Drexel",86,"6054 South Drivexel"
"6","5758 S. Maryland ",84,"5758 South Maryland "
"7","5530 S. Ellis ",74,"5530 South Ellis "
"8","1100 E. 57th St. ",73,"1100 East 57th Street "
"9","850 E. 61st St. ",64,"850 East 61st Street "
"10","1414 E. 59th St. ",57,"1414 East 59th Street "
"11","5721 S. Maryland ",52,"5721 South Maryland "
"12","5500 S. University ",50,"5500 South University "
"13","970 E. 58th St. ",41,"970 East 58th Street "
"14","1005 E. 60th St. ",39,"1005 East 60th Street "
"15","5640 S. University ",39,"5640 South University "
"16","1101 E. 56th St. ",38,"1101 East 56th Street "
"17","6054 S. Drexel ",37,"6054 South Drivexel "
"18","915 E. 60th St. ",37,"915 East 60th Street "
"19","929 E. 57th St. ",36,"929 East 57th Street "
"20","5730 S. Drexel ",35,"5730 South Drivexel "
"21","5550 S. University ",34,"5550 South University "
"22","5706 S. University ",34,"5706 South University "
"23","1116 E. 59th St. ",32,"1116 East 59th Street "
"24","5840 S. Maryland ",32,"5840 South Maryland "
"25","1212 E. 59th St. ",31,"1212 East 59th Street "
"26","5807 S. Woodlawn ",31,"5807 South Woodlawn "
"27","5505 S. Ellis ",30,"5505 South Ellis "
"28","5555 S. Woodlawn ",30,"5555 South Woodlawn "
"29","5630 S. University ",28,"5630 South University "
"30","924 E. 57th St. ",28,"924 East 57th Street "
"31","5811 S. Ellis ",25,"5811 South Ellis "
"32","1362 E. 59th St. ",24,"1362 East 59th Street "
"33","860 E. 59th St. ",23,"860 East 59th Street "
"34","1111 E. 60th St. ",21,"1111 East 60th Street "
"35","5801 S. Ellis ",21,"5801 South Ellis "
"36","5730 S. Ellis ",20,"5730 South Ellis "
"37","1100 E. 58th St. ",19,"1100 East 58th Street "
"38","900 E. 57th St. ",19,"900 East 57th Street "
"39","950 E. 59th St. ",19,"950 East 59th Street "
"40","5625 S. Ellis ",18,"5625 South Ellis "
"41","5640 S. Ellis ",17,"5640 South Ellis "
"42","5800 S. Stony Island ",17,"5800 South Stony Island "
"43","5812 S. Ellis ",17,"5812 South Ellis "
"44","5841 S. Maryland ",17,"5841 South Maryland "
"45","5656 S. Maryland ",16,"5656 South Maryland "
"46","1155 E. 60th St. ",15,"1155 East 60th Street "
"47","1307 E. 60th St. ",14,"1307 East 60th Street "
"48","5835 S. Greenwood ",14,"5835 South Greenwood "
"49","850 E. 61st St.",14,"850 East 61st Street"
"50","1009 E. 57th St. ",13,"1009 East 57th Street "
"51","1155 E. 57th St. ",13,"1155 East 57th Street "
"52","5823 S. Kenwood ",13,"5823 South Kenwood "
"53","1101 E. 58th St. ",12,"1101 East 58th Street "
"54","1131 E. 57th St. ",12,"1131 East 57th Street "
"55","5735 S. Ellis ",12,"5735 South Ellis "
"56","5800 S. Greenwood ",12,"5800 South Greenwood "
"57","821 E. 55th St. ",12,"821 East 55th Street "
"58","1020 E. 58th St. ",11,"1020 East 58th Street "
"59","1155 E. 58th St. ",11,"1155 East 58th Street "
"60","5639 S. University ",11,"5639 South University "
"61","800 E. 55th St. ",11,"800 East 55th Street "
"62","1050 E. 59th St. ",10,"1050 East 59th Street "
"63","1118 E. 58th St. ",10,"1118 East 58th Street "
"64","5709 S. Ellis ",10,"5709 South Ellis "
"65","5757 S. University ",10,"5757 South University "
"66","5848 S. University ",10,"5848 South University "
"67","6025 S. Ellis ",10,"6025 South Ellis "
"68","920 E. 58th St. ",10,"920 East 58th Street "
"69","1010 E. 59th St. ",9,"1010 East 59th Street "
"70","5555 S. Ellis ",9,"5555 South Ellis "
"71","5700 S. Stony Island ",9,"5700 South Stony Island "
"72","5840 S. Kenwood ",9,"5840 South Kenwood "
"73","6045 S. Kenwood",9,"6045 South Kenwood"
"74","6300 S. University ",9,"6300 South University "
"75","1025 E. 58th St. ",8,"1025 East 58th Street "
"76","1101 E. 57th St. ",8,"1101 East 57th Street "
"77","1126 E. 59th St. ",8,"1126 East 59th Street "
"78","1427 E. 60th St. ",8,"1427 East 60th Street "
"79","5720 S. Ellis ",8,"5720 South Ellis "
"80","5747 S. Ellis ",8,"5747 South Ellis "
"81","5751 S. Woodlawn ",8,"5751 South Woodlawn "
"82","5835 S. Kimbark ",8,"5835 South Kimbark "
"83","6045 S. Kenwood ",8,"6045 South Kenwood "
"84","901 E. 58th St.",8,"901 East 58th Street"
"85","969 E. 60th St. ",8,"969 East 60th Street "
"86","1100 E. 57th St.",7,"1100 East 57th Street"
"87","5225 S. Cottage Grove ",7,"5225 South Cottage Grove "
"88","5700 S. Ellis ",7,"5700 South Ellis "
"89","5800 S. Stony Island",7,"5800 South Stony Island"
"90","5828 S. University ",7,"5828 South University "
"91","5850 S. Woodlawn ",7,"5850 South Woodlawn "
"92","5900 S. Woodlawn",7,"5900 South Woodlawn"
"93","947 E. 58th St. ",7,"947 East 58th Street "
"94","1115 E. 58th St. ",6,"1115 East 58th Street "
"95","5445 S. Ingleside ",6,"5445 South Ingleside "
"96","5482 S. Greenwood ",6,"5482 South Greenwood "
"97","5555 S. Woodlawn",6,"5555 South Woodlawn"
"98","5625 S. University ",6,"5625 South University "
"99","5700 S. University ",6,"5700 South University "
"100","5714 S. Woodlawn ",6,"5714 South Woodlawn "
"101","5747 S. University ",6,"5747 South University "
"102","5845 S. Ellis ",6,"5845 South Ellis "
"103","6000 S. Drexel ",6,"6000 South Drivexel "
"104","6030 S. Ellis ",6,"6030 South Ellis "
"105","940 E. 57th St. ",6,"940 East 57th Street "
"106","1101 E. 56th St.",5,"1101 East 56th Street"
"107","1130 E. 59th St. ",5,"1130 East 59th Street "
"108","1228 E. 53rd St. ",5,"1228 East 53rd Street "
"109","1407 E. 60th St. ",5,"1407 East 60th Street "
"110","1442 E. 59th St. ",5,"1442 East 59th Street "
"111","5050 S. Lake Shore Dr.",5,"5050 South Lake Shore Drive"
"112","5400 S. Woodlawn",5,"5400 South Woodlawn"
"113","5500 S. Woodlawn",5,"5500 South Woodlawn"
"114","5525 S. Ellis ",5,"5525 South Ellis "
"115","5540 S. Hyde Park ",5,"5540 South Hyde Park "
"116","5800 S. Ellis ",5,"5800 South Ellis "
"117","5839 S. Maryland ",5,"5839 South Maryland "
"118","6000 S. Ellis ",5,"6000 South Ellis "
"119","850 E. 58th St. ",5,"850 East 58th Street "
"120","933 E. 56th St. ",5,"933 East 56th Street "
"121","1029 E. 57th St. ",4,"1029 East 57th Street "
"122","1155 E. 60th St.",4,"1155 East 60th Street"
"123","1355 E. 53rd St. ",4,"1355 East 53rd Street "
"124","1452 E. 53rd St. ",4,"1452 East 53rd Street "
"125","5300 S. Dorchester ",4,"5300 South Dorchester "
"126","5300 S. Harper",4,"5300 South Harper"
"127","5316 S. Dorchester ",4,"5316 South Dorchester "
"128","5345 S. Harper ",4,"5345 South Harper "
"129","5535 S. Ellis ",4,"5535 South Ellis "
"130","5550 S. Greenwood ",4,"5550 South Greenwood "
"131","5601 S. Cottage Grove ",4,"5601 South Cottage Grove "
"132","5608 S. Stony Island",4,"5608 South Stony Island"
"133","5610 S. Drexel ",4,"5610 South Drivexel "
"134","5630 S. Ellis ",4,"5630 South Ellis "
"135","5700 S. Drexel ",4,"5700 South Drivexel "
"136","5700 S. University",4,"5700 South University"
"137","5700 S. Woodlawn ",4,"5700 South Woodlawn "
"138","5801 S. Dorchester ",4,"5801 South Dorchester "
"139","5824 S. Stony Island ",4,"5824 South Stony Island "
"140","5838 S. Kenwood ",4,"5838 South Kenwood "
"141","5900 S. Stony Island",4,"5900 South Stony Island"
"142","6000 S. Drexel",4,"6000 South Drivexel"
"143","6019 S. Ingleside",4,"6019 South Ingleside"
"144","6022 S. Drexel ",4,"6022 South Drivexel "
"145","6420 S. University ",4,"6420 South University "
"146","950 E. 61st St. ",4,"950 East 61st Street "
"147","951 E. 58th St. ",4,"951 East 58th Street "
"148","Unknown",4,"Unknown"
"149","1000 E. Midway Pl.",3,"1000 East Midway Plaisance"
"150","1010 E. 59th St.",3,"1010 East 59th Street"
"151","1100 E.57th St. ",3,"1100 East57th Street "
"152","1130 E. Midway Pl.",3,"1130 East Midway Plaisance"
"153","1144 E. 59th St. ",3,"1144 East 59th Street "
"154","1150 E. 58th St. ",3,"1150 East 58th Street "
"155","1346 E. 53rd St.",3,"1346 East 53rd Street"
"156","1346 E. 53rd St. ",3,"1346 East 53rd Street "
"157","1369 E. Hyde Park ",3,"1369 East Hyde Park "
"158","1400 E. Midway Pl.",3,"1400 East Midway Plaisance"
"159","1427 E. 60th St.",3,"1427 East 60th Street"
"160","1453 E. 53rd St.",3,"1453 East 53rd Street"
"161","1526 E. 55th St. ",3,"1526 East 55th Street "
"162","1539 E. 53rd St.",3,"1539 East 53rd Street"
"163","1554 E. 55th St. ",3,"1554 East 55th Street "
"164","1600 E. Midway Pl.",3,"1600 East Midway Plaisance"
"165","5020 S. Cornell ",3,"5020 South Cornell "
"166","5048 S. Cornell ",3,"5048 South Cornell "
"167","5107 S. Blackstone ",3,"5107 South Blackstone "
"168","5110 S. Kenwood ",3,"5110 South Kenwood "
"169","5200 S. Lake Park",3,"5200 South Lake Park"
"170","5235 S. Harper ",3,"5235 South Harper "
"171","5238 S. Harper ",3,"5238 South Harper "
"172","5300 S. Drexel",3,"5300 South Drivexel"
"173","5300 S. Ingleside",3,"5300 South Ingleside"
"174","5300 S. Lake Park",3,"5300 South Lake Park"
"175","5400 S. Ellis",3,"5400 South Ellis"
"176","5400 S. Ingleside ",3,"5400 South Ingleside "
"177","5400 S. Lake Park",3,"5400 South Lake Park"
"178","5401 S. Ellis",3,"5401 South Ellis"
"179","5454 S. Shore Dr. ",3,"5454 South Shore Drive "
"180","5455 S. Blackstone ",3,"5455 South Blackstone "
"181","5500 S. Lake Park",3,"5500 South Lake Park"
"182","5514 S. Blackstone ",3,"5514 South Blackstone "
"183","5514 S. University ",3,"5514 South University "
"184","5530 S. Ellis",3,"5530 South Ellis"
"185","5600 S. Cottage Grove",3,"5600 South Cottage Grove"
"186","5600 S. Ellis ",3,"5600 South Ellis "
"187","5600 S. Hyde Park",3,"5600 South Hyde Park"
"188","5631 S. Cottage Grove ",3,"5631 South Cottage Grove "
"189","5700 S. Blackstone ",3,"5700 South Blackstone "
"190","5714 S. Woodlawn",3,"5714 South Woodlawn"
"191","5721 S. Maryland",3,"5721 South Maryland"
"192","5730 S. Drexel",3,"5730 South Drivexel"
"193","5800 S. University ",3,"5800 South University "
"194","5836 S. Greenwood ",3,"5836 South Greenwood "
"195","6000 S. Cottage Grove",3,"6000 South Cottage Grove"
"196","6019 S. Ingleside ",3,"6019 South Ingleside "
"197","6227 S. Cottage Grove ",3,"6227 South Cottage Grove "
"198","6300 S. Woodlawn",3,"6300 South Woodlawn"
"199","935 E. 56th St. ",3,"935 East 56th Street "
"200","942 E. 55th St.",3,"942 East 55th Street"
"201","970 E. 58th St.",3,"970 East 58th Street"
"202","1101 E. 57th St.",2,"1101 East 57th Street"
"203","1126 E. 59th St.",2,"1126 East 59th Street"
"204","1212 E. 59th St.",2,"1212 East 59th Street"
"205","1225 E. 60th St. ",2,"1225 East 60th Street "
"206","1226 E. 53rd St. ",2,"1226 East 53rd Street "
"207","1228 E. 53rd St.",2,"1228 East 53rd Street"
"208","1321 E. 57th St. ",2,"1321 East 57th Street "
"209","1330 E. 53rd St. ",2,"1330 East 53rd Street "
"210","1350 E. Madison Park ",2,"1350 East Madison Park "
"211","1365 E. 60th St. ",2,"1365 East 60th Street "
"212","1400 E. 47th St. ",2,"1400 East 47th Street "
"213","1400 E. 53rd St. ",2,"1400 East 53rd Street "
"214","1418 E. 53rd St. ",2,"1418 East 53rd Street "
"215","1420 E. 53rd St. ",2,"1420 East 53rd Street "
"216","1427 E. Midway Pl.",2,"1427 East Midway Plaisance"
"217","1449 E. 57th St. ",2,"1449 East 57th Street "
"218","1500 E. 57th St.",2,"1500 East 57th Street"
"219","1500 E. 61st St.",2,"1500 East 61st Street"
"220","1530 E. 53rd St. ",2,"1530 East 53rd Street "
"221","1554 E. 55th St.",2,"1554 East 55th Street"
"222","1617 E. 50th Pl. ",2,"1617 East 50th Place "
"223","4800 S. Lake Park",2,"4800 South Lake Park"
"224","4900 S. Lake Park",2,"4900 South Lake Park"
"225","5000 S. Drexel ",2,"5000 South Drivexel "
"226","5100 S. Cottage Grove",2,"5100 South Cottage Grove"
"227","5100 S. Drexel",2,"5100 South Drivexel"
"228","5100 S. Ellis",2,"5100 South Ellis"
"229","5100 S. Woodlawn ",2,"5100 South Woodlawn "
"230","5118 S. Dorchester ",2,"5118 South Dorchester "
"231","5130 S. Lake Park",2,"5130 South Lake Park"
"232","5130 S. Lake Park ",2,"5130 South Lake Park "
"233","5200 S. Dorchester",2,"5200 South Dorchester"
"234","5225 S. Harper ",2,"5225 South Harper "
"235","5235 S. Harper",2,"5235 South Harper"
"236","5300 S. Cornell",2,"5300 South Cornell"
"237","5300 S. Harper ",2,"5300 South Harper "
"238","5300 S. University",2,"5300 South University"
"239","5326 S. Cornell",2,"5326 South Cornell"
"240","53rd & Harper",2,"53rd and Harper"
"241","5400 S. Dorchester",2,"5400 South Dorchester"
"242","5400 S. Drexel ",2,"5400 South Drivexel "
"243","5400 S. Greenwood",2,"5400 South Greenwood"
"244","5400 S. Harper ",2,"5400 South Harper "
"245","5400 S. Ingleside",2,"5400 South Ingleside"
"246","5400 S. University ",2,"5400 South University "
"247","5454 S. Lake Shore Dr.",2,"5454 South Lake Shore Drive"
"248","5500 S. Cornell",2,"5500 South Cornell"
"249","5500 S. Cornell ",2,"5500 South Cornell "
"250","5500 S. Cottage Grove",2,"5500 South Cottage Grove"
"251","5500 S. Ellis",2,"5500 South Ellis"
"252","5500 S. Ellis ",2,"5500 South Ellis "
"253","5501 S. Cottage Grove",2,"5501 South Cottage Grove"
"254","5521 S. University ",2,"5521 South University "
"255","5550 S. Dorchester ",2,"5550 South Dorchester "
"256","5600 S. Woodlawn",2,"5600 South Woodlawn"
"257","5615 S. University",2,"5615 South University"
"258","5615 S. University ",2,"5615 South University "
"259","5617 S. Maryland ",2,"5617 South Maryland "
"260","5643 S. Cottage Grove ",2,"5643 South Cottage Grove "
"261","5700 S. Blackstone",2,"5700 South Blackstone"
"262","5700 S. Drexel",2,"5700 South Drivexel"
"263","5700 S. Ellis",2,"5700 South Ellis"
"264","5700 S. Hyde Park",2,"5700 South Hyde Park"
"265","5700 S. Stony Island",2,"5700 South Stony Island"
"266","5700 S. Woodlawn",2,"5700 South Woodlawn"
"267","5710 S. Woodlawn ",2,"5710 South Woodlawn "
"268","5730 S. Woodlawn ",2,"5730 South Woodlawn "
"269","5734 S. Ellis ",2,"5734 South Ellis "
"270","5735 S. University ",2,"5735 South University "
"271","5739 S. Woodlawn ",2,"5739 South Woodlawn "
"272","5748 S. Blackstone ",2,"5748 South Blackstone "
"273","5750 S. Woodlawn ",2,"5750 South Woodlawn "
"274","5751 S. Woodlawn",2,"5751 South Woodlawn"
"275","5757 S. University",2,"5757 South University"
"276","5800 S. Cottage Grove",2,"5800 South Cottage Grove"
"277","5800 S. Dorchester",2,"5800 South Dorchester"
"278","5800 S. Greenwood",2,"5800 South Greenwood"
"279","5800 S. Maryland",2,"5800 South Maryland"
"280","5800 S. Woodlawn",2,"5800 South Woodlawn"
"281","5801 S. Ellis",2,"5801 South Ellis"
"282","5815 S. Kimbark ",2,"5815 South Kimbark "
"283","5827 S. University",2,"5827 South University"
"284","5835 S. Drexel ",2,"5835 South Drivexel "
"285","5835 S. Kenwood ",2,"5835 South Kenwood "
"286","5837 S. Maryland ",2,"5837 South Maryland "
"287","5900 S. Ellis",2,"5900 South Ellis"
"288","6000 S. Ellis",2,"6000 South Ellis"
"289","6000 S. Stony Island",2,"6000 South Stony Island"
"290","6000 S. Woodlawn",2,"6000 South Woodlawn"
"291","6000 S. Woodlawn ",2,"6000 South Woodlawn "
"292","6016 S. Ingleside ",2,"6016 South Ingleside "
"293","6031 S. Ellis",2,"6031 South Ellis"
"294","6100 S. Ellis ",2,"6100 South Ellis "
"295","6100 S. Ingleside",2,"6100 South Ingleside"
"296","6200 S. Ellis",2,"6200 South Ellis"
"297","6200 S. Harper",2,"6200 South Harper"
"298","6200 S. Kimbark",2,"6200 South Kimbark"
"299","6300 S. Ingleside",2,"6300 South Ingleside"
"300","6300 S. Kenwood",2,"6300 South Kenwood"
"301","6315 S. Cottage Grove ",2,"6315 South Cottage Grove "
"302","801 E. Midway Pl.",2,"801 East Midway Plaisance"
"303","820 E. 56th St.",2,"820 East 56th Street"
"304","850 E. 58th St.",2,"850 East 58th Street"
"305","850 E. 63rd St. ",2,"850 East 63rd Street "
"306","900 E. Midway Pl.",2,"900 East Midway Plaisance"
"307","910 E. 58th St. ",2,"910 East 58th Street "
"308","924-26 E. 61st St. ",2,"924-26 East 61st Street "
"309",". 5100 S. Ellis",1,". 5100 South Ellis"
"310","1000 E. 54th Pl.",1,"1000 East 54th Place"
"311","1000 E. 54th Pl. ",1,"1000 East 54th Place "
"312","1000 E. 54th St.",1,"1000 East 54th Street"
"313","1000 E. 61st St. ",1,"1000 East 61st Street "
"314","1000 E. 63rd St.",1,"1000 East 63rd Street"
"315","1000 E. Midway Pl",1,"1000 East Midway Pl"
"316","1001 E. Midway Pl.",1,"1001 East Midway Plaisance"
"317","1003 E. 62nd St. ",1,"1003 East 62nd Street "
"318","1005 E. 55th St.",1,"1005 East 55th Street"
"319","1005 E. 55th St. ",1,"1005 East 55th Street "
"320","1005 E. 60th St. Burton-Judson RH",1,"1005 East 60th Street Burton-Judson RH"
"321","1009 E. 53rd St. ",1,"1009 East 53rd Street "
"322","1009 E. 55th St. ",1,"1009 East 55th Street "
"323","1009 E. 57th St.",1,"1009 East 57th Street"
"324","1009 E. 57th St.  ",1,"1009 East 57th Street  "
"325","1010 E. 55th St.",1,"1010 East 55th Street"
"326","1020 E. 58th St.",1,"1020 East 58th Street"
"327","1020 E. 61st St. ",1,"1020 East 61st Street "
"328","1021 E 62nd St.",1,"1021 E 62nd Street"
"329","1023 E. 48th St. ",1,"1023 East 48th Street "
"330","1025 E. 54th Pl.",1,"1025 East 54th Place"
"331","1025 E. 57th St. ",1,"1025 East 57th Street "
"332","1027 E. 53rd St. ",1,"1027 East 53rd Street "
"333","1028 E. 62nd St. ",1,"1028 East 62nd Street "
"334","1029 E. 49th St. ",1,"1029 East 49th Street "
"335","1030 E. 52nd St.",1,"1030 East 52nd Street"
"336","1035 E. 60th St.",1,"1035 East 60th Street"
"337","1036 E. Hyde Park",1,"1036 East Hyde Park"
"338","1047 E. Midway Pl",1,"1047 East Midway Pl"
"339","1055 E. 55th St. ",1,"1055 East 55th Street "
"340","1056 E. 55th St.",1,"1056 East 55th Street"
"341","1070 E. 57th St.",1,"1070 East 57th Street"
"342","1100 E. 48th St. ",1,"1100 East 48th Street "
"343","1100 E. 58th St ",1,"1100 East 58th St "
"344","1100 E. 58th St.",1,"1100 East 58th Street"
"345","1100 E. 59th St. ",1,"1100 East 59th Street "
"346","1100 E. 61st St.",1,"1100 East 61st Street"
"347","1100 E. 61st St. ",1,"1100 East 61st Street "
"348","1100 E. Midway Pl.",1,"1100 East Midway Plaisance"
"349","1100 E.60th St.",1,"1100 East60th Street"
"350","1101 E, 56th St. ",1,"1101 East 56th Street "
"351","1101 E. 53rd St.",1,"1101 East 53rd Street"
"352","1101 E. 58th ",1,"1101 East 58th "
"353","1101 E. 58th St.  ",1,"1101 East 58th Street  "
"354","1103 E. 57th St. ",1,"1103 East 57th Street "
"355","1105 E. 55th St. ",1,"1105 East 55th Street "
"356","1108 E. 53rd St. ",1,"1108 East 53rd Street "
"357","1108 E. 58th St.",1,"1108 East 58th Street"
"358","1108 E. 58th St. ",1,"1108 East 58th Street "
"359","1110 E. 53rd St. ",1,"1110 East 53rd Street "
"360","1111 E, 60th St. ",1,"1111 East 60th Street "
"361","1117 E. 53rd St. ",1,"1117 East 53rd Street "
"362","1118 E. 57th St. ",1,"1118 East 57th Street "
"363","1118 E. 58th St ",1,"1118 East 58th St "
"364","1118 E. 58th St. Eckhart Hall ",1,"1118 East 58th Street Eckhart Hall "
"365","1119 E. 58th St. ",1,"1119 East 58th Street "
"366","1120 E. 59th St.",1,"1120 East 59th Street"
"367","1120 E. Midway Pl.",1,"1120 East Midway Plaisance"
"368","1121 E. 57th St.",1,"1121 East 57th Street"
"369","1122 E. 46th St. ",1,"1122 East 46th Street "
"370","1128 E. 46th St.",1,"1128 East 46th Street"
"371","1130 E. 46th St.",1,"1130 East 46th Street"
"372","1130 E. 57th St.",1,"1130 East 57th Street"
"373","1132 E. 56th St.",1,"1132 East 56th Street"
"374","1144 E. 52nd St.",1,"1144 East 52nd Street"
"375","1144 E. 59th St.",1,"1144 East 59th Street"
"376","1144 E. 61st St.",1,"1144 East 61st Street"
"377","1145 E. 55th St.",1,"1145 East 55th Street"
"378","1145 E. 56th St. ",1,"1145 East 56th Street "
"379","1147 E. 56th St.",1,"1147 East 56th Street"
"380","1148 E. 48th St. ",1,"1148 East 48th Street "
"381","1149 E. 46th St.",1,"1149 East 46th Street"
"382","1153 E. 56th St.",1,"1153 East 56th Street"
"383","1154 E. 55th St.",1,"1154 East 55th Street"
"384","1154 E. 56th St. ",1,"1154 East 56th Street "
"385","1154 E. 57th St. ",1,"1154 East 57th Street "
"386","1155 E. 55th St. ",1,"1155 East 55th Street "
"387","1155 E. 56th St.",1,"1155 East 56th Street"
"388","1155 E. 56th St. ",1,"1155 East 56th Street "
"389","1155 E. 65th St.",1,"1155 East 65th Street"
"390","1156 E. 57th St.",1,"1156 East 57th Street"
"391","1156 E. Hyde Park ",1,"1156 East Hyde Park "
"392","1157 E. 59th St.",1,"1157 East 59th Street"
"393","1158 E. 58th St. ",1,"1158 East 58th Street "
"394","1158 E. 59th St.",1,"1158 East 59th Street"
"395","1160 E. 54th St.",1,"1160 East 54th Street"
"396","1160 E. 56th St.",1,"1160 East 56th Street"
"397","1160 E. 58th St. ",1,"1160 East 58th Street "
"398","1162 E. 52nd St. ",1,"1162 East 52nd Street "
"399","1165 E. 53rd St.",1,"1165 East 53rd Street"
"400","1165 E. 61st St.",1,"1165 East 61st Street"
"401","1167 E. 63rd St. ",1,"1167 East 63rd Street "
"402","1174 E. 55th St.",1,"1174 East 55th Street"
"403","1200 E. 61st St. ",1,"1200 East 61st Street "
"404","1200 E. Hyde Park",1,"1200 East Hyde Park"
"405","1200 E. Hyde Park ",1,"1200 East Hyde Park "
"406","1201 E. 54th St.",1,"1201 East 54th Street"
"407","1201 E. 59th St.",1,"1201 East 59th Street"
"408","1204 E. 53rd St. ",1,"1204 East 53rd Street "
"409","1205 E. 54th St.",1,"1205 East 54th Street"
"410","1210 E. 54th St. ",1,"1210 East 54th Street "
