,Incident,Location,Occured,Disposition,Notes,temp_inc
1379,assist other agency/department,illinois institute of technology : mies campus : academic/administrative buildings : main building – 3300 s federal,7/7/2017 8:48,police notified   notes: iitpsd responded to a call of a number of individuals in the main building.       thank you,iitpsd responded to a call of a number of individuals in the main building.       thank you,OTHER
1380,injured/sick person : non-emergency medical transport : student,illinois institute of technology : mies campus : academic/administrative buildings : tower – 10w 35th,7/6/2017 2:04,cleared – no further action notes: iitpsd conducted a non emergency medical transport for an iit student from the tower to mercy hospital.,iitpsd conducted a non emergency medical transport for an iit student from the tower to mercy hospital.,MEDICAL INCIDENT
1381,accident : motor vehicle,illinois institute of technology : mies campus : street locations : 31st street : west : 36-60 dearborn to federal,7/6/2017 7:05,police notified notes: iitpsd responded to 31th and dearborn for a iit student being struck by a motor vehicle. thank you and enjoy the weekend!,iitpsd responded to 31th and dearborn for a iit student being struck by a motor vehicle. thank you and enjoy the weekend!,ACCIDENT
1382,injured/sick person : non-emergency medical transport,illinois institute of technology : mies campus : residential buildings : mccormick student village – 3241 s wabash : msv – graduate,6/30/2017 4:07,cleared – no further action   notes: iitpsd responded to a call of an injured staff member at msv graduate hall.,iitpsd responded to a call of an injured staff member at msv graduate hall.,MEDICAL INCIDENT
1383,accident : motor vehicle : pedestrian,illinois institute of technology : mies campus : street locations : 35th street,7/1/2017 12:30,closed – no further action possible   notes: iitpsd responded to 35th & michigan for a motor vehicle vs. pedestrian accident.,iitpsd responded to 35th & michigan for a motor vehicle vs. pedestrian accident.,ACCIDENT
1384,utility incident : elevator : entrapment,illinois institute of technology : mies campus : academic/administrative buildings : tower – 10w 35th,7/3/2017 2:27,cleared – no further action   notes: iitpsd responded to the tower for an elevator entrapment.,iitpsd responded to the tower for an elevator entrapment.,UTILITY INCIDENT
1385,disorderly / reckless conduct,illinois institute of technology : mies campus : street locations : 31st street : east : 1-45 state to wabash,7/4/2017 8:15,police notified   notes: iitpsd responded to keating field for a disorderly member of the general public.       thank you,iitpsd responded to keating field for a disorderly member of the general public.       thank you,DISTURBANCE
1386,injured/sick person : non-emergency medical transport : student,illinois institute of technology : mies campus : residential buildings : gunsaulus hall – 3140 s michigan,8/29/2017 5:39,housing notified   notes: iitpsd responed to gunsaulus hall for a injured student worker.,iitpsd responed to gunsaulus hall for a injured student worker.,MEDICAL INCIDENT
1387,weapon law violation,illinois institute of technology : mies campus : street locations : dearborn : 3300-3400 south,8/29/2017 2:20,police notified   notes: iitpsd responded to the 33rd and wabash fire lane for a weapon violation involving a member of the general public.,iitpsd responded to the 33rd and wabash fire lane for a weapon violation involving a member of the general public.,WEAPON
1388,disturbance,illinois institute of technology : mies campus : street locations : federal,8/29/2017 2:30,police notified   notes: iitpsd responded to 31st and federal for a disturbance involving two members of the general public.,iitpsd responded to 31st and federal for a disturbance involving two members of the general public.,DISTURBANCE
1389,disturbance,illinois institute of technology : mies campus : residential buildings : mccormick student   village – 3241 s wabash : msv – east,8/29/2017 8:20,resident advisor notified   notes: iitpsd responded to msv east hall for a disturbance involving two iit students.       thank you,iitpsd responded to msv east hall for a disturbance involving two iit students.       thank you,DISTURBANCE
1390,hazmat,illinois institute of technology : mies campus : academic/administrative buildings : technology park – 3340 s dearborn,8/28/2017 12:30,facilities notified   notes: iitpsd responded to tech park for a coolant spill.,iitpsd responded to tech park for a coolant spill.,OTHER
1391,accident : motor vehicle,illinois institute of technology : mies campus : zone 6,8/28/2017 12:58,closed pending adtl info   notes: iitpsd responded to the vandercook parking lot for a hit and run report for a vandercook student.,iitpsd responded to the vandercook parking lot for a hit and run report for a vandercook student.,ACCIDENT
1392,robbery : firearm,illinois institute of technology : mies campus : street locations : 33rd street : west : 60 150 federal to lasalle,8/28/2017 10:05,police notified   notes: iitpsd responded to wishnick hall for a student that had been robbed while off campus.       thank you,iitpsd responded to wishnick hall for a student that had been robbed while off campus.       thank you,ROBBERY
1393,robbery : strong-arm hand/fists/feet,illinois institute of technology : mies campus : other : off campus location,8/25/2017 8:15,police notified   notes: iitpsd responded to two iit students who walked up to a patrol unit and advised about a robbery and an attempted robbery at an off campus location.,iitpsd responded to two iit students who walked up to a patrol unit and advised about a robbery and an attempted robbery at an off campus location.,ROBBERY
1394,robbery : attempted,illinois institute of technology : mies campus : other : off campus location,8/25/2017 8:15,police notified   notes: iitpsd responded to two iit students who walked up to a patrol unit and advised about a robbery and an attempted robbery at an off campus location.,iitpsd responded to two iit students who walked up to a patrol unit and advised about a robbery and an attempted robbery at an off campus location.,ROBBERY
1395,larceny/theft : other,illinois institute of technology : mies campus : other : cta : green line – 35th,8/25/2017 9:55,housing notified   notes: iitpsd responded to farr hall to take a theft report for an iit student.,iitpsd responded to farr hall to take a theft report for an iit student.,THEFT
1396,liquor law violation,illinois institute of technology : mies campus : residential buildings : mccormick student village – 3241 s wabash : msv – south,8/27/2017 1:36,housing notified   notes: iitpsd responded to msv south hall for a call of possible underage drinking.,iitpsd responded to msv south hall for a call of possible underage drinking.,LIQUOR LAW VIOLATION
1397,robbery : strong-arm hand/fists/feet,illinois institute of technology : mies campus : street locations : intersections : 31st & state,8/27/2017 9:26,police notified   notes: iitpsd detained an offender of a robbery of an iit student that occurred at 33rd and the red line.,iitpsd detained an offender of a robbery of an iit student that occurred at 33rd and the red line.,ROBBERY
1398,injured/sick person : non-emergency medical transport : student,illinois institute of technology : mies campus : academic/administrative buildings : mccormick tribune campus center – 3201 s state,8/27/2017 9:42,housing notified   notes: iitpsd responded to a call of an injured student at the mccormick tribune campus center.,iitpsd responded to a call of an injured student at the mccormick tribune campus center.,MEDICAL INCIDENT
1399,utility incident : water,illinois institute of technology : mies campus : residential buildings : state street village :ssv middle – 3333 s state,8/27/2017 11:40,facilities notified   notes: itpsd responded to a call about a water leak in ssv middle.    thank you,itpsd responded to a call about a water leak in ssv middle.    thank you,UTILITY INCIDENT
1400,robbery : strong-arm hand/fists/feet,illinois institute of technology : mies campus : other : off campus location,8/23/2017 10:05,police notified   notes: an iit student came to farr hall to file a report for theft of a motor vehicle that occurred off campus.       thank you,an iit student came to farr hall to file a report for theft of a motor vehicle that occurred off campus.       thank you,THEFT
1401,fire,illinois institute of technology : mies campus : street locations : 31st street : west : 1-36 state to dearborn,8/22/2017 6:43,cleared – no further action notes: iitpsd responded to a garbage dumpster fire in the parking lot outside of the stuart building.  thank you,iitpsd responded to a garbage dumpster fire in the parking lot outside of the stuart building.  thank you,ALARM
1402,robbery,illinois institute of technology : mies campus : other : off campus location,8/21/2017 9:55,cleared – no further action   notes: iitpsd took an off campus robbery report from an iit student at 31st & state.,iitpsd took an off campus robbery report from an iit student at 31st & state.,ROBBERY
1403,robbery : strong-arm hand/fists/feet,illinois institute of technology : mies campus : street locations : intersections : 33rd & dearborn,8/21/2017 4:18,cleared – no further action   notes: iitpsd responded to a report of an iit student robbed on the dearborn fire lane near galvin library.,iitpsd responded to a report of an iit student robbed on the dearborn fire lane near galvin library.,ROBBERY
1404,robbery : attempted,illinois institute of technology : mies campus : other : off campus location,8/21/2017 4:18,cleared – no further action   notes: iitpsd took a delayed report from an iit student of an off campus attempted robbery.       thank you,iitpsd took a delayed report from an iit student of an off campus attempted robbery.       thank you,ROBBERY
1405,injured/sick person : report only : student,illinois institute of technology : mies campus : academic/administrative buildings : keating sports center – 3040 s wabash,8/18/2017 7:30,cleared – no further action   notes: iitpsd responded to a report of an injured student at keating gym.,iitpsd responded to a report of an injured student at keating gym.,MEDICAL INCIDENT
1406,suspicious person,illinois institute of technology : mies campus : street locations : wabash : 3200-3300 south,8/18/2017 9:00,cleared – no further action   notes: iitpsd took a report from an iit student at farr hall about a suspicious person.,iitpsd took a report from an iit student at farr hall about a suspicious person.,SUSPICION
1407,injured/sick person : non-emergency medical transport : student,illinois institute of technology : mies campus : residential buildings : carmen hall – 60 e 32nd,8/19/2017 9:30,housing notified   notes: iitpsd responded to carmen hall for a non-emergency medical transport to mercy hospital for an iit student.,iitpsd responded to carmen hall for a non-emergency medical transport to mercy hospital for an iit student.,MEDICAL INCIDENT
1408,suspicious activity,illinois institute of technology : mies campus : residential buildings : gunsaulus hall – 3140 s michigan,8/19/2017 6:05,unfounded   notes: iitpsd responded to a call at gunsaulus hall for a reported smell of marijuana.,iitpsd responded to a call at gunsaulus hall for a reported smell of marijuana.,NARCOTICS
1409,suspicious person,illinois institute of technology : mies campus : other : cta : green line – 34th,8/20/2017 10:00,closed – no further action possible   notes: iit student came to farr hall to make a suspicious person report.       thank you!,iit student came to farr hall to make a suspicious person report.       thank you!,SUSPICION
1410,larceny/theft,illinois institute of technology : mies campus : academic/administrative buildings : hermann hall – 3241 s federal,8/16/2017 10:30,closed pending adtl info   notes: iitpsd responded to perlstein hall to take a report of a missing laptop from an iit employee.,iitpsd responded to perlstein hall to take a report of a missing laptop from an iit employee.,THEFT
1411,larceny/theft : from motor vehicle,illinois institute of technology : mies campus : general parking locations : c4 lot – 10 w 34th,8/16/2017 1:30,cleared – no further action   notes: iitpsd responded to tech park for a theft from vehicle report of an employee.       thank you,iitpsd responded to tech park for a theft from vehicle report of an employee.       thank you,THEFT
1412,accident : motor vehicle,illinois institute of technology : mies campus : general parking locations : c5 lot – 3410 s 34th,8/11/2017 6:04,cleared – no further action   notes: iitpsd responded to the c5 parking lot for a minor vehicle accident involving members of the general public.,iitpsd responded to the c5 parking lot for a minor vehicle accident involving members of the general public.,ACCIDENT
1413,suspicious person,illinois institute of technology : mies campus : general parking locations : a4 lot – 3200 s state,8/11/2017 7:00,cleared – no further action   notes: iitpsd responded to the a4 parking lot to meet a member of the general public about a suspicious person.,iitpsd responded to the a4 parking lot to meet a member of the general public about a suspicious person.,SUSPICION
1414,well being check,illinois institute of technology : mies campus : residential buildings : mccormick student village – 3241 s wabash : msv – north,8/11/2017 7:40,housing notified   notes: iitpsd responded to a call for a well being check at mccormick student village.,iitpsd responded to a call for a well being check at mccormick student village.,WELL BEING CHECK
1415,assault-simple : verbal commands,illinois institute of technology : mies campus : street locations : wabash : 3200-3300 south,8/12/2017 12:00,police notified   notes: iitpsd took a report after a member of general public assaulted a public safety officer at 33rd and wabash.,iitpsd took a report after a member of general public assaulted a public safety officer at 33rd and wabash.,ASSAULT
1416,alarm : fire,illinois institute of technology : mies campus : academic/administrative buildings : life science research – 35 w 34th,8/13/2017 9:30,cleared – no further action   notes: iitpsd responded to lsr for an activated fire alarm.,iitpsd responded to lsr for an activated fire alarm.,ALARM
1417,alarm : fire,illinois institute of technology : mies campus : residential buildings : mccormick student village – 3241 s wabash,8/13/2017 1:19,cleared – no further action   notes: iitpsd responded to msv for an activated fire alarm.,iitpsd responded to msv for an activated fire alarm.,ALARM
1418,injured/sick person : non-emergency medical transport : student,illinois institute of technology : mies campus : residential buildings : gunsaulus hall – 3140 s michigan,8/13/2017 5:29,housing notified   notes: iitpsd responded to a call of an injured student at gunsaulus hall.,iitpsd responded to a call of an injured student at gunsaulus hall.,MEDICAL INCIDENT
1419,damage to property,illinois institute of technology : mies campus : academic/administrative buildings : mccormick tribune campus center – 3201 s state,8/13/2017 6:15,facilities notified   notes: iitpsd responded to the mccormick tribune center for a damage to property report.,iitpsd responded to the mccormick tribune center for a damage to property report.,DAMAGE TO PROPERTY
1420,disturbance,illinois institute of technology : mies campus : residential buildings : state street village :ssv south – 3353 s state,8/13/2017 8:08,police notified   notes: iitpsd responded to a call of teens setting paper on fire near the rear of state street village south.       thank you!,iitpsd responded to a call of teens setting paper on fire near the rear of state street village south.       thank you!,ALARM
1421,alarm : smoke,illinois institute of technology : mies campus : academic/administrative buildings : tower – 10w 35th,8/10/2017 3:30,facilities notified   notes: iitpsd responded to the tower-4th floor for a smoke alarm.,iitpsd responded to the tower-4th floor for a smoke alarm.,ALARM
1422,disorderly / reckless conduct,illinois institute of technology : mies campus : academic/administrative buildings : rettaliata engineering – 10 w 32nd,8/10/2017 9:10,police notified   notes: iitpsd responded to the se side of rettaliata engineering for a disorderly conduct report.,iitpsd responded to the se side of rettaliata engineering for a disorderly conduct report.,DISTURBANCE
1423,accident : motor vehicle : pedestrian,illinois institute of technology : mies campus : street locations : 35th street,8/10/2017 2:50,police notified   notes: iitpsd responded to 35th and state for a motor vehicle/bike accident involving a member of the general public.       thank you,iitpsd responded to 35th and state for a motor vehicle/bike accident involving a member of the general public.       thank you,ACCIDENT
1424,alarm : fire,illinois institute of technology : mies campus : academic/administrative buildings : crown hall – 3360 s state,7/31/2017 10:43,cleared – no further action   notes: iitpsd responded to crown hall for an active fire alarm,iitpsd responded to crown hall for an active fire alarm,ALARM
1425,suspicious activity,illinois institute of technology : mies campus : academic/administrative buildings : main building – 3300 s federal,7/31/2017 1:44,police notified   notes: iitpsd responded to the main building for a suspicious activity report,iitpsd responded to the main building for a suspicious activity report,SUSPICION
1426,larceny/theft : shoplifting,illinois institute of technology : mies campus : street locations : intersections : 31st & state,7/31/2017 2:21,cleared – no further action   notes: iitpsd responded to 31st and state for a reported theft from 7/11       thank you and have a great day!,iitpsd responded to 31st and state for a reported theft from 7/11       thank you and have a great day!,THEFT
1427,alarm : fire,illinois institute of technology : mies campus : residential buildings : state street village :ssv south – 3353 s state,9/28/2017 10:34,closed – no further action possible   notes: iitpsd responded to ssvs for a false fire alarm.,iitpsd responded to ssvs for a false fire alarm.,ALARM
1428,larceny/theft : from motor vehicle,illinois institute of technology : mies campus : general parking locations : d5 lot – 3420 s state,9/28/2017 4:38,cleared – no further action   notes: iitpsd responded to the d4 parking area for a theft report       thank you,iitpsd responded to the d4 parking area for a theft report       thank you,THEFT
1429,motor vehicle theft : autos,illinois institute of technology : mies campus : general parking locations : c1 lot – 35 w 33rd,9/26/2017 12:05,police notified   notes: iitpsd responded to a call of a stolen vehicle from the c1 parking lot.,iitpsd responded to a call of a stolen vehicle from the c1 parking lot.,THEFT
1430,drug/narcotic offense,illinois institute of technology : mies campus : residential buildings : fraternity/sorority :asp – 3361 s wabash,9/26/2017 10:50,housing notified   notes: iitpsd took a report of the recovery of drug and drug paraphernallia.,iitpsd took a report of the recovery of drug and drug paraphernallia.,NARCOTICS
1431,disturbance,illinois institute of technology : mies campus : academic/administrative buildings : main building – 3300 s federal,9/26/2017 2:00,cleared – no further action   notes: iitpsd responded to a disturbance involving an iit student and members of the general public.       thank you,iitpsd responded to a disturbance involving an iit student and members of the general public.       thank you,DISTURBANCE
1432,injured/sick person : non-emergency medical transport : employee/staff/faculty,illinois institute of technology : mies campus : academic/administrative buildings : tower – 10w 35th,9/22/2017 9:30,cleared – no further action   notes: iitpsd gave a non-emergency transport for a student to mercy hospital.,iitpsd gave a non-emergency transport for a student to mercy hospital.,MEDICAL INCIDENT
1433,assist other agency/department,illinois institute of technology : mies campus : academic/administrative buildings : 3424 s   state,9/22/2017 9:40,police notified   notes: iitpsd responded to 3424 to assist cpd in the apprehension of a ycla student.,iitpsd responded to 3424 to assist cpd in the apprehension of a ycla student.,OTHER
1434,injured/sick person : non-emergency medical transport : student,illinois institute of technology : mies campus : residential buildings : carmen hall – 60 e 32nd,9/23/2017 2:40,housing notified   notes: iitpsd responded to carmen hall for a non-emergency medical transport.,iitpsd responded to carmen hall for a non-emergency medical transport.,MEDICAL INCIDENT
1435,assist other agency/department,illinois institute of technology : mies campus : academic/administrative buildings : main building – 3300 s federal,9/24/2017 1:30,police notified   notes: iitpsd assisted cpd who responded to a motion sensor alarm triggered at main building.,iitpsd assisted cpd who responded to a motion sensor alarm triggered at main building.,ALARM
1436,utility incident,illinois institute of technology,9/24/2017 3:30,cleared – no further action   notes: iitpsd addressed a card reader access outage.       thank you,iitpsd addressed a card reader access outage.       thank you,UTILITY INCIDENT
1437,injured/sick person : non-emergency medical transport,illinois institute of technology : mies campus : residential buildings : mccormick student   village – 3241 s wabash : msv – south,9/20/2017 2:05,housing notified   notes: iitpsd provided a non emergency medical transport to mercy hospital for an iit student.,iitpsd provided a non emergency medical transport to mercy hospital for an iit student.,MEDICAL INCIDENT
1438,trespassing : criminal trespass to land,illinois institute of technology : mies campus : academic/administrative buildings : 3424 s state,9/20/2017 12:30,police notified   notes: iitpsd responded to the 3424 dock area for a trespasser.       thank you,iitpsd responded to the 3424 dock area for a trespasser.       thank you,TRESPASS
1439,utility incident : elevator : entrapment,illinois institute of technology : mies campus : academic/administrative buildings : tower – 10w 35th,9/15/2017 5:35,notes: iitpsd responded to the iit tower for an elevator entrapment.,iitpsd responded to the iit tower for an elevator entrapment.,UTILITY INCIDENT
1440,damage to property,illinois institute of technology : mies campus : general parking locations : d2 lot – 3350 s wabash,9/17/2017 7:15,cleared – no further action   notes: iitpsd completed a damage to property report after observing damage to the d2 parking lot exit gate,iitpsd completed a damage to property report after observing damage to the d2 parking lot exit gate,DAMAGE TO PROPERTY
1441,alarm : fire,illinois institute of technology : mies campus : residential buildings : mccormick student village – 3241 s wabash,9/17/2017 9:25,cleared – no further action   notes: iitpsd responded to msv for an active fire alarm       thank you,iitpsd responded to msv for an active fire alarm       thank you,ALARM
1442,alarm : fire,illinois institute of technology : mies campus : residential buildings : mccormick student village – 3241 s wabash : msv – south,9/14/2017 1:26,cleared – no further action   notes: iitpsd responded to msv for an active fire alarm.,iitpsd responded to msv for an active fire alarm.,ALARM
1443,alarm : fire,illinois institute of technology : mies campus : residential buildings : mccormick student village – 3241 s wabash : msv – graduate,9/14/2017 11:50,cleared – no further action   notes: iitpsd responded to an active fire alarm at msv.       thank you and have a great weekend!,iitpsd responded to an active fire alarm at msv.       thank you and have a great weekend!,ALARM
1444,alarm : smoke,illinois institute of technology : mies campus : residential buildings : mccormick student village – 3241 s wabash : msv – lewis,9/13/2017 2:37,cleared – no further action   notes: iitpsd responded to an activated fire alarm at mccormick student village.       thank you,iitpsd responded to an activated fire alarm at mccormick student village.       thank you,ALARM
1445,damage to property,illinois institute of technology : mies campus : general parking locations : d5 lot – 3420 s state,9/12/2017 4:00,cleared – no further action   notes: iitpsd responed to a call of damage to property in the d5 employee parking lot.,iitpsd responed to a call of damage to property in the d5 employee parking lot.,DAMAGE TO PROPERTY
1446,alarm : smoke,illinois institute of technology : mies campus : residential buildings : carmen hall – 60 e 32nd,9/12/2017 4:55,facilities notified   notes: iitpsd responded to carmen hall for a active fire alarm.,iitpsd responded to carmen hall for a active fire alarm.,ALARM
1447,alarm : smoke,illinois institute of technology : mies campus : residential buildings : carmen hall – 60 e 32nd,9/12/2017 9:19,facilities notified   notes: iitpsd responded to carmen hall for an activated fire alarm.,iitpsd responded to carmen hall for an activated fire alarm.,ALARM
1448,injured/sick person : non-emergency medical transport : student,illinois institute of technology : mies campus : academic/administrative buildings : perlstein hall – 10 w 33rd,9/12/2017 10:40,housing notified   notes: iitpsd responded to a call of an injured student at perlstein hall.       thank you,iitpsd responded to a call of an injured student at perlstein hall.       thank you,MEDICAL INCIDENT
1449,injured/sick person : non-emergency medical transport,illinois institute of technology : mies campus : other : soccer field – 31st & federal,9/6/2017 7:00,housing notified   notes: iitpsd responded to the stuart soccer field for a student having breathing issues.,iitpsd responded to the stuart soccer field for a student having breathing issues.,MEDICAL INCIDENT
1450,utility incident : telecommunications,illinois institute of technology : mies campus,9/6/2017 10:00,facilities notified   notes: all iitpsd officers responded to a report of a campus wide telecommunications outage.,all iitpsd officers responded to a report of a campus wide telecommunications outage.,UTILITY INCIDENT
1451,larceny/theft,illinois institute of technology : mies campus : other : off campus location,9/6/2017 11:00,cleared – no further action   notes: a staff member of iit came to farr hall to advise that she had property stolen while off campus.,a staff member of iit came to farr hall to advise that she had property stolen while off campus.,THEFT
1452,accident : motor vehicle : pedestrian,illinois institute of technology : mies campus : street locations : 35th street : west : 1-36 state to dearborn,9/6/2017 6:30,police notified   notes: iitpsd responded to 35th and dearborn for a report of an iit student being struck by a motor vehicle.      thank you,iitpsd responded to 35th and dearborn for a report of an iit student being struck by a motor vehicle.      thank you,ACCIDENT
1453,trespassing : bar notice,illinois institute of technology : mies campus : academic/administrative buildings : galvin library – 35 w 33rd,9/1/2017 4:15,police notified   notes: iitpsd responded to the galvin library front desk for a member of the general public that was reported to be panhandeling.,iitpsd responded to the galvin library front desk for a member of the general public that was reported to be panhandeling.,DISTURBANCE
1454,liquor law violation,illinois institute of technology : mies campus : residential buildings : state street village :ssv north – 3303 s state,9/3/2017 11:17,housing notified   notes: iitpsd responded to ssv north for underage drinking involving iit students.       thank you,iitpsd responded to ssv north for underage drinking involving iit students.       thank you,LIQUOR LAW VIOLATION
1455,alarm : smoke,illinois institute of technology : mies campus : residential buildings : carmen hall – 60 e 32nd,8/31/2017 12:26,facilities notified   notes: iitpsd responded to carmen hall for a fire alarm.,iitpsd responded to carmen hall for a fire alarm.,ALARM
1456,drug/narcotic offense,illinois institute of technology : mies campus : residential buildings : state street village :ssv middle – 3333 s state,8/31/2017 4:30,resident advisor notified   notes: iitpsd responded to ssv middle 3rd floor for a report of the smell of marijuana.,iitpsd responded to ssv middle 3rd floor for a report of the smell of marijuana.,NARCOTICS
1457,drug/narcotic offense,illinois institute of technology : mies campus : residential buildings : state street village :ssv middle – 3333 s state,8/31/2017 10:15,resident advisor notified   notes: iitpsd responded to ssv middle for a report of the smell of marijuana.,iitpsd responded to ssv middle for a report of the smell of marijuana.,NARCOTICS
1458,utility incident : water,illinois institute of technology : mies campus : residential buildings : state street village :ssv south – 3353 s state,8/31/2017 11:00,facilities notified   notes: iitpsd responded to a report of a water valve that burst at ssv south.       thank you and have a great weekend!,iitpsd responded to a report of a water valve that burst at ssv south.       thank you and have a great weekend!,UTILITY INCIDENT
1459,administrative information,illinois institute of technology : mies campus : campus wide,10/30/2017 3:30,cleared – no further action   notes: iitpsd responded to a technical issue with the card readers on campus.,iitpsd responded to a technical issue with the card readers on campus.,UTILITY INCIDENT
1460,larceny/theft : bicycles,illinois institute of technology : mies campus : academic/administrative buildings : rettaliata engineering – 10 w 32nd,10/30/2017 11:11,cleared – no further action   notes: iitpsd responded to the tower for a theft report.,iitpsd responded to the tower for a theft report.,THEFT
1461,utility incident : elevator : entrapment,illinois institute of technology : mies campus : academic/administrative buildings : stuart building – 10 w 31st,10/30/2017 11:23,cleared – no further action   notes: iitpsd responded to stuart building for an elevator entrapment involving iit students.,iitpsd responded to stuart building for an elevator entrapment involving iit students.,UTILITY INCIDENT
1462,injured/sick person : non-emergency medical transport : employee/staff/faculty,illinois institute of technology : mies campus : other : mercy hospital,10/30/2017 12:10,cleared – no further action   notes: iitpsd conducted a non-emergency medical transport for 2 students to mercy hospital.,iitpsd conducted a non-emergency medical transport for 2 students to mercy hospital.,MEDICAL INCIDENT
1463,assault-simple : verbal commands,illinois institute of technology : mies campus : academic/administrative buildings : 3424 s state,10/30/2017 1:19,cleared – no further action   notes: iitpsd took a simple assault report from a ycla teacher at 3424.       thank you and happy halloween!,iitpsd took a simple assault report from a ycla teacher at 3424.       thank you and happy halloween!,ASSAULT
1464,damage to property,illinois institute of technology : mies campus : general parking locations : a3 lot – 3100 s wabash,10/27/2017 11:00,cleared – no further action   notes: iitpsd responded to call for a damage to property report for an iit student.       thank you,iitpsd responded to call for a damage to property report for an iit student.       thank you,DAMAGE TO PROPERTY
1465,assault-simple : hands/fists/feet,illinois institute of technology : mies campus : academic/administrative buildings : mccormick tribune campus center – 3201 s state,10/26/2017 9:00,police notified   notes: iitpsd responded to the 7/11 for a report of theft and assault by members of the general public.,iitpsd responded to the 7/11 for a report of theft and assault by members of the general public.,ASSAULT
1466,injured/sick person : emergency medical transport/ambulance,illinois institute of technology : mies campus : academic/administrative buildings : keating sports center – 3040 s wabash,10/26/2017 8:10,housing notified   notes: iitpsd responded to keating hall for a report of an emergency transport to mercy hospital.       thank you and have a great weekend!,iitpsd responded to keating hall for a report of an emergency transport to mercy hospital.       thank you and have a great weekend!,MEDICAL INCIDENT
1467,accident : motor vehicle : pedestrian,illinois institute of technology : mies campus : street locations : state : 3400-3500 south,10/20/2017 2:05,police notified   notes: iitpsd responded to 35th and state street for a report of a hit a run involving a vehicle and two pedestrians.,iitpsd responded to 35th and state street for a report of a hit a run involving a vehicle and two pedestrians.,ACCIDENT
1468,injured/sick person : emergency medical transport/ambulance : general public/visitor,illinois institute of technology : mies campus : other : soccer field – 31st & federal,10/21/2017 6:04,closed – no further action possible   notes: iitpsd responded to a call of an injured person on the iit soccer field.,iitpsd responded to a call of an injured person on the iit soccer field.,MEDICAL INCIDENT
1469,sex offenses,illinois institute of technology : mies campus : academic/administrative buildings : hermann hall – 3241 s federal,10/21/2017 10:48,housing notified   notes: iitpsd responded to a student making a delayed notification about being a victim of sexual misconduct.,iitpsd responded to a student making a delayed notification about being a victim of sexual misconduct.,SEXUAL CRIME
1470,fire,illinois institute of technology : mies campus : residential buildings : mccormick student village – 3241 s wabash,10/22/2017 11:45,housing notified   notes: iitpsd responded to msv for a report of a garbage can on fire.,iitpsd responded to msv for a report of a garbage can on fire.,ALARM
1471,well being check,illinois institute of technology : mies campus : residential buildings : fraternity/sorority :tri – 3360 s michigan,10/22/2017 10:45,cleared – no further action   notes: iitpsd did a well being check on an iit student at the triangle house.,iitpsd did a well being check on an iit student at the triangle house.,WELL BEING CHECK
1472,damage to property,illinois institute of technology : mies campus : general parking locations : d5 lot – 3420 s   state,10/23/2017 5:00,cleared – no further action   notes: iitpsd responded to d5 parking lot for a damage to property report.       thank you,iitpsd responded to d5 parking lot for a damage to property report.       thank you,DAMAGE TO PROPERTY
1473,disturbance,illinois institute of technology : mies campus : general parking locations : d5 lot – 3420 s state,10/16/2017 10:30,police notified   notes: iitpsd responded to the d4 parking area for a report of a disturbance involving members of the general public.       thank you,iitpsd responded to the d4 parking area for a report of a disturbance involving members of the general public.       thank you,DISTURBANCE
1474,injured/sick person : non-emergency medical transport : student,illinois institute of technology : mies campus : residential buildings : mccormick student   village – 3241 s wabash : msv – lewis,10/13/2017 6:25,incident occurred between: 10/13/2017 06:25 am and 10/13/2017 06:30 am,NA,MEDICAL INCIDENT
1475,alarm : fire,illinois institute of technology : mies campus : residential buildings : fraternity/sorority :asp – 3361 s wabash,10/13/2017 4:10,cleared – no further action   notes: iitpsd responded to an activated fire alarm at alpha sigma phi house.,iitpsd responded to an activated fire alarm at alpha sigma phi house.,ALARM
1476,alarm : fire,illinois institute of technology : mies campus : residential buildings : fraternity/sorority :asp – 3361 s wabash,10/13/2017 8:15,cleared – no further action   notes: iitpsd responded to a call of an activated fire alarm at alpha sigma phi house.,iitpsd responded to a call of an activated fire alarm at alpha sigma phi house.,ALARM
1477,injured/sick person : emergency medical transport/ambulance : general public/visitor,illinois institute of technology : mies campus : street locations : federal : 3400-3500 south,10/13/2017 8:48,cleared – no further action   notes: iitpsd responded to a call of a member of the general public laying in the street at 3430 s. federal.,iitpsd responded to a call of a member of the general public laying in the street at 3430 s. federal.,OTHER
1478,damage to property,illinois institute of technology : mies campus : street locations : 32nd street : east,10/14/2017 9:05,facilities notified   notes: iitpsd responded to the 32nd and wabash fire lane for damage to property.,iitpsd responded to the 32nd and wabash fire lane for damage to property.,DAMAGE TO PROPERTY
1479,liquor law violation,illinois institute of technology : mies campus : residential buildings : state street village :ssv south – 3353 s state,10/15/2017 12:15,police notified   notes: iitpsd responded to ssv south for a noise complaint.,iitpsd responded to ssv south for a noise complaint.,DISTURBANCE
1480,utility incident : water,illinois institute of technology : mies campus : academic/administrative buildings : wishnickhall – 3255 s dearborn,10/15/2017 3:14,housekeeping notified   notes: iitpsd responded to a call of standing water at wishnick hall.       thank you,iitpsd responded to a call of standing water at wishnick hall.       thank you,UTILITY INCIDENT
1481,larceny/theft : other,illinois institute of technology : mies campus : academic/administrative buildings : 3410 s state,10/10/2017 12:20,cleared – no further action   notes: iitpsd responded to farr hall for an iit student requesting a theft report.,iitpsd responded to farr hall for an iit student requesting a theft report.,THEFT
