,Incident,Location,Occured,Disposition,Notes,temp_inc
500,utility incident : elevator : malfunction,illinois institute of technology : kent campus ,11/16/2015 3:00,NA,elevator car number two placed out of service at kent college of law,UTILITY INCIDENT
501,suspicious person,illinois institute of technology : mies campus : crown hall ,11/16/2015 5:45,NA,iitpsd responded to crown hall for a suspicious person. the suspicious person was gone upon arrival.,SUSPICION
502,robbery : strong-arm hand/fists/feet,illinois institute of technology: off campus location,11/16/2015 8:25,NA,iitpsd took a report of a off campus strong arm robbery that involved an iit student at 33rd/king dr.   thank you,ROBBERY
503,injured/sick person : non-emergency medical transport : student,illinois institute of technology : mies campus : farr hall ,11/14/2015 6:15,NA,iitpsd provided a non-emergency medical transport to mercy hospital for an iit student.,MEDICAL INCIDENT
504,assist other agency/department,illinois institute of technology,11/15/2015 7:30,NA,iitpsd assisted cpd searching for 3 suspects that were temporarily observed on the iit campus.   thank you,TRESPASS
505,miscellaneous incident,illinois institute of technology : mies campus,11/12/2015 11:30,NA,iitpsd was notified of a window that was broken at ycla due to the high winds.,DAMAGE TO PROPERTY
506,robbery : strong-arm hand/fists/feet,illinois institute of technology : off campus location,11/12/2015 1:30,NA,iitpsd took a delayed report for an iit student who was the victim of a strong-arm robbery off campus at 33rd st. and prairie ave. on 11/11/15.,ROBBERY
507,robbery : attempted,illinois institute of technology: off campus location,11/12/2015 2:00,NA,iitpsd took a delayed report for an iit student who was the victim of an attempted armed robbery off campus at 33rd st. and giles ave on 11/11/15.,ROBBERY
508,larceny/theft : from motor vehicle,illinois institute of technology : mies campus : 33rd street ,11/12/2015 8:20,NA,iitpsd detained two general public members after finding that they had stolen items from parked vehicles. the offenders were turned over to the chicago police.   thank you,THEFT
509,disturbance,illinois institute of technology : mies campus: 3424 s state,11/11/2015 12:00,NA,iitpsd responded to the 3424 building for a report of a disturbance. the chicago police were notified and c.p.d escorted one student to mercy hospital.,DISTURBANCE
510,injured/sick person : non-emergency medical transport : student,illinois institute of technology : mies campus: tower ,11/11/2015 2:10,NA,iitpsd provided a non-emergency medical transport to mercy hospital for an iit student.,MEDICAL INCIDENT
511,administrative information,illinois institute of technology : kent campus ,11/11/2015 5:50,NA,iit psd received a report of a person wearing a holstered firearm at kent college of law   thank you,WEAPON
512,accident : motor vehicle,illinois institute of technology : mies campus : street locations : state,11/10/2015 1:55,NA,iitpsd responded to a two vehicle accident at 31st st. and state st. the chicago police were notified.,ACCIDENT
513,accident : motor vehicle,illinois institute of technology : mies campus : street locations,11/10/2015 2:00,NA,iitpsd responded to 34th st. and state st. for a report of an iit student that was struck by a vehicle in a hit and run accident.,ACCIDENT
514,assault-simple,illinois institute of technology : mies campus : general parking locations : b2 lot ,11/10/2015 10:00,NA,iitpsd responded to a physical altercation involving two iit students.   thank you,BATTERY
515,alarm : fire,illinois institute of technology : mies campus: mccormick student village ,11/9/2015 2:02,NA,iitpsd responded to an activated fire alarm at msv. it was later found to be a false alarm.,ALARM
516,robbery : firearm,illinois institute of technology- off campus location,11/9/2015 12:15,NA,iitpsd responded to mccormick student village for a delayed off campus robbery report.,ROBBERY
517,harassment : in person,illinois institute of technology : mies campus: farr hall ,11/9/2015 4:40,NA,iitpsd took a harassment report involving an iit student.   thank you,DISTURBANCE
518,damage to property,illinois institute of technology : mies campus: d1 lot ,11/6/2015 8:30,NA,iitpsd took a delayed report for damage to property in the d1 parking lot.   thank you,DAMAGE TO PROPERTY
519,accident : motor vehicle,illinois institute of technology : mies campus : machinery hall ,11/4/2015 1:20,NA,iitpsd responded to a minor two vehicle accident at 33rd st. and federal st.,ACCIDENT
520,alarm : fire,illinois institute of technology : mies campus : mccormick student village ,11/4/2015 7:50,NA,iitpsd responded to msv for an activated fire alarm. it was later found to be a false alarm.,ALARM
521,accident : motor vehicle,illinois institute of technology : street locations : 33rd street ,11/4/2015 8:15,NA,iitpsd responded to a motor vehicle accident involving a member of the general public.,ACCIDENT
522,alarm : smoke,illinois institute of technology : mies campus : gunsaulus hall ,11/4/2015 8:50,NA,iitpsd responded to gunsaulus hall for an activated smoke alarm. the cause was found to be burnt food – no flame.,ALARM
523,administrative information,illinois institute of technology : kent campus ,11/4/2015 8:55,NA,iitpsd was notified about a student’s missing cell phone.,OTHER
